"","Survived","Pclass","Title","Embarked","FamilyType","AgeType","Fare_per_person","type","PassengerId"
"1","0","3","Mr","S","Regular","Adult",7.25,"train",1
"2","1","1","Mrs","C","Regular","Adult",35.64165,"train",2
"3","1","3","Miss","S","Single","Adult",7.925,"train",3
"4","1","1","Mrs","S","Regular","Adult",26.55,"train",4
"5","0","3","Mr","S","Single","Adult",8.05,"train",5
"6","0","3","Mr","Q","Single","Adult",8.4583,"train",6
"7","0","1","Mr","S","Single","Adult",25.93125,"train",7
"8","0","3","Master","S","Large","Child",4.215,"train",8
"9","1","3","Mrs","S","Regular","Adult",3.7111,"train",9
"10","1","2","Mrs","C","Regular","Child",15.0354,"train",10
"11","1","3","Miss","S","Regular","Child",5.56666666666667,"train",11
"12","1","1","Miss","S","Single","Adult",26.55,"train",12
"13","0","3","Mr","S","Single","Adult",8.05,"train",13
"14","0","3","Mr","S","Large","Adult",4.46785714285714,"train",14
"15","0","3","Miss","S","Single","Child",7.8542,"train",15
"16","1","2","Mrs","S","Single","Adult",16,"train",16
"17","0","3","Master","Q","Large","Child",4.85416666666667,"train",17
"18","1","2","Mr","S","Single","Adult",13,"train",18
"19","0","3","Mrs","S","Regular","Adult",9,"train",19
"20","1","3","Mrs","C","Single","Adult",7.225,"train",20
"21","0","2","Mr","S","Single","Adult",13,"train",21
"22","1","2","Mr","S","Single","Adult",13,"train",22
"23","1","3","Miss","Q","Single","Child",8.0292,"train",23
"24","1","1","Mr","S","Single","Adult",35.5,"train",24
"25","0","3","Miss","S","Large","Child",4.215,"train",25
"26","1","3","Mrs","S","Large","Adult",4.48392857142857,"train",26
"27","0","3","Mr","C","Single","Adult",7.225,"train",27
"28","0","1","Mr","S","Large","Adult",43.8333333333333,"train",28
"29","1","3","Miss","Q","Single","Adult",7.8792,"train",29
"30","0","3","Mr","S","Single","Adult",7.8958,"train",30
"31","0","1","Mr","C","Single","Adult",27.7208,"train",31
"32","1","1","Mrs","C","Regular","Adult",48.8402666666667,"train",32
"33","1","3","Miss","Q","Single","Adult",7.75,"train",33
"34","0","2","Mr","S","Single","Elder",10.5,"train",34
"35","0","1","Mr","C","Regular","Adult",41.0854,"train",35
"36","0","1","Mr","S","Regular","Adult",26,"train",36
"37","1","3","Mr","C","Single","Adult",7.2292,"train",37
"38","0","3","Mr","S","Single","Adult",8.05,"train",38
"39","0","3","Miss","S","Regular","Adult",9,"train",39
"40","1","3","Miss","C","Regular","Child",5.62085,"train",40
"41","0","3","Mrs","S","Regular","Adult",9.475,"train",41
"42","0","2","Mrs","S","Regular","Adult",10.5,"train",42
"43","0","3","Mr","C","Single","Adult",7.8958,"train",43
"44","1","2","Miss","C","Regular","Child",10.3948,"train",44
"45","1","3","Miss","Q","Single","Adult",7.8792,"train",45
"46","0","3","Mr","S","Single","Adult",8.05,"train",46
"47","0","3","Mr","Q","Regular","Adult",7.75,"train",47
"48","1","3","Miss","Q","Single","Adult",7.75,"train",48
"49","0","3","Mr","C","Regular","Adult",7.2264,"train",49
"50","0","3","Mrs","S","Regular","Adult",8.9,"train",50
"51","0","3","Master","S","Large","Child",5.66964285714286,"train",51
"52","0","3","Mr","S","Single","Adult",7.8,"train",52
"53","1","1","Mrs","C","Regular","Adult",25.5764,"train",53
"54","1","2","Mrs","S","Regular","Adult",13,"train",54
"55","0","1","Mr","C","Regular","Elder",30.9896,"train",55
"56","1","1","Mr","S","Single","Adult",35.5,"train",56
"57","1","2","Miss","S","Single","Adult",10.5,"train",57
"58","0","3","Mr","C","Single","Adult",7.2292,"train",58
"59","1","2","Miss","S","Regular","Child",6.9375,"train",59
"60","0","3","Master","S","Large","Child",5.8625,"train",60
"61","0","3","Mr","C","Single","Adult",7.2292,"train",61
"62","1","1","Miss","C","Single","Adult",40,"train",62
"63","0","1","Mr","S","Regular","Adult",41.7375,"train",63
"64","0","3","Master","S","Large","Child",4.65,"train",64
"65","0","1","Mr","C","Single","Child",27.7208,"train",65
"66","1","3","Master","C","Regular","Child",5.08193333333333,"train",66
"67","1","2","Mrs","S","Single","Adult",10.5,"train",67
"68","0","3","Mr","S","Single","Adult",8.1583,"train",68
"69","1","3","Miss","S","Large","Child",7.925,"train",69
"70","0","3","Mr","S","Regular","Adult",8.6625,"train",70
"71","0","2","Mr","S","Single","Adult",10.5,"train",71
"72","0","3","Miss","S","Large","Child",5.8625,"train",72
"73","0","2","Mr","S","Single","Adult",10.5,"train",73
"74","0","3","Mr","C","Regular","Adult",7.2271,"train",74
"75","1","3","Mr","S","Single","Adult",7.061975,"train",75
"76","0","3","Mr","S","Single","Adult",7.65,"train",76
"77","0","3","Mr","S","Single","Adult",7.8958,"train",77
"78","0","3","Mr","S","Single","Adult",8.05,"train",78
"79","1","2","Master","S","Regular","Child",9.66666666666667,"train",79
"80","1","3","Miss","S","Single","Adult",6.2375,"train",80
"81","0","3","Mr","S","Single","Adult",9,"train",81
"82","1","3","Mr","S","Single","Adult",9.5,"train",82
"83","1","3","Miss","Q","Single","Child",7.7875,"train",83
"84","0","1","Mr","S","Single","Adult",23.55,"train",84
"85","1","2","Miss","S","Single","Child",10.5,"train",85
"86","1","3","Mrs","S","Regular","Adult",7.925,"train",86
"87","0","3","Mr","S","Large","Child",6.875,"train",87
"88","0","3","Mr","S","Single","Adult",8.05,"train",88
"89","1","1","Miss","S","Large","Adult",43.8333333333333,"train",89
"90","0","3","Mr","S","Single","Adult",8.05,"train",90
"91","0","3","Mr","S","Single","Adult",8.05,"train",91
"92","0","3","Mr","S","Single","Adult",7.8542,"train",92
"93","0","1","Mr","S","Regular","Adult",30.5875,"train",93
"94","0","3","Mr","S","Regular","Adult",5.14375,"train",94
"95","0","3","Mr","S","Single","Adult",7.25,"train",95
"96","0","3","Mr","S","Single","Adult",8.05,"train",96
"97","0","1","Mr","C","Single","Elder",34.6542,"train",97
"98","1","1","Mr","C","Regular","Adult",31.67915,"train",98
"99","1","2","Mrs","S","Regular","Adult",11.5,"train",99
"100","0","2","Mr","S","Regular","Adult",13,"train",100
"101","0","3","Miss","S","Single","Adult",7.8958,"train",101
"102","0","3","Mr","S","Single","Adult",7.8958,"train",102
"103","0","1","Mr","S","Regular","Adult",38.64375,"train",103
"104","0","3","Mr","S","Single","Adult",8.6542,"train",104
"105","0","3","Mr","S","Regular","Adult",7.925,"train",105
"106","0","3","Mr","S","Single","Adult",7.8958,"train",106
"107","1","3","Miss","S","Single","Adult",7.65,"train",107
"108","1","3","Mr","S","Single","Adult",7.775,"train",108
"109","0","3","Mr","S","Single","Adult",7.8958,"train",109
"110","1","3","Miss","Q","Regular","Child",8.05,"train",110
"111","0","1","Mr","S","Single","Adult",26,"train",111
